precision,auc,n_features,features
0.2605633802816901,0.6272727272727272,26,"['player_height', 'player_weight', 'player_class', 'usage_overall', 'stats_passing_pct', 'win_rate', 'is_power_5', 'class_risk_factor', 'win_rate_class_risk_factor', 'is_not_same_coach_next_season', 'yoy_win_rate', 'yoy_stats_passing_pct', 'yoy_usage_overall', 'team_coach_encoded', 'team_name_encoded', 'team_conference_ACC', 'team_conference_American Athletic', 'team_conference_Big 12', 'team_conference_Big Ten', 'team_conference_Conference USA', 'team_conference_FBS Independents', 'team_conference_Mid-American', 'team_conference_Mountain West', 'team_conference_Pac-12', 'team_conference_SEC', 'team_conference_Sun Belt']"
0.22608695652173913,0.6180546726001271,15,"['is_not_same_coach_next_season' 'win_rate' 'stats_passing_pct'
 'team_conference_Pac-12' 'team_conference_FBS Independents'
 'player_class' 'yoy_stats_passing_pct' 'usage_overall'
 'team_conference_Big 12' 'team_coach_encoded' 'is_power_5'
 'team_conference_Big Ten' 'team_name_encoded'
 'team_conference_Mid-American' 'yoy_usage_overall']"
0.23432343234323433,0.5998029243483789,14,"['is_not_same_coach_next_season' 'team_conference_American Athletic'
 'team_conference_Sun Belt' 'yoy_stats_passing_pct'
 'team_conference_Mountain West' 'yoy_win_rate' 'stats_passing_pct'
 'is_power_5' 'team_conference_FBS Independents' 'team_conference_SEC'
 'team_coach_encoded' 'win_rate_class_risk_factor' 'win_rate'
 'player_class']"
0.2633333333333333,0.6288366179275271,14,"['is_not_same_coach_next_season' 'team_coach_encoded'
 'team_conference_Pac-12' 'team_conference_Big Ten' 'team_conference_SEC'
 'class_risk_factor' 'team_conference_Mountain West'
 'team_conference_FBS Independents' 'is_power_5' 'usage_overall'
 'yoy_usage_overall' 'team_conference_Sun Belt' 'player_class'
 'team_conference_American Athletic']"
0.20533333333333334,0.5738080101716465,3,['team_conference_ACC' 'is_power_5' 'win_rate']
0.26223776223776224,0.6272091544818817,23,"['yoy_usage_overall' 'usage_overall' 'team_conference_SEC'
 'team_conference_Conference USA' 'win_rate_class_risk_factor'
 'team_conference_Mid-American' 'team_conference_Big 12'
 'team_conference_ACC' 'win_rate' 'player_class' 'player_weight'
 'team_name_encoded' 'team_conference_Pac-12' 'team_conference_Sun Belt'
 'class_risk_factor' 'is_power_5' 'player_height'
 'team_conference_Mountain West' 'is_not_same_coach_next_season'
 'team_conference_Big Ten' 'yoy_win_rate'
 'team_conference_American Athletic' 'stats_passing_pct']"
0.2440944881889764,0.5599491417673236,9,"['team_conference_Mid-American' 'win_rate_class_risk_factor'
 'player_weight' 'team_conference_Mountain West' 'stats_passing_pct'
 'team_conference_Big 12' 'yoy_usage_overall' 'team_name_encoded'
 'yoy_stats_passing_pct']"
0.22611464968152867,0.6291036236490782,14,"['yoy_win_rate' 'team_conference_FBS Independents' 'stats_passing_pct'
 'team_coach_encoded' 'team_conference_SEC' 'team_conference_ACC'
 'team_conference_Pac-12' 'win_rate' 'usage_overall'
 'is_not_same_coach_next_season' 'team_name_encoded' 'player_height'
 'class_risk_factor' 'yoy_usage_overall']"
0.24068767908309455,0.6431341385886841,10,"['win_rate_class_risk_factor' 'team_conference_FBS Independents'
 'usage_overall' 'team_conference_Sun Belt' 'win_rate' 'player_height'
 'is_power_5' 'is_not_same_coach_next_season' 'player_class'
 'yoy_win_rate']"
0.21902017291066284,0.6299554990464081,16,"['usage_overall' 'team_conference_Conference USA' 'yoy_usage_overall'
 'team_conference_Mountain West' 'win_rate' 'team_name_encoded'
 'player_height' 'team_coach_encoded' 'team_conference_Big 12'
 'team_conference_Sun Belt' 'team_conference_SEC' 'yoy_stats_passing_pct'
 'team_conference_Pac-12' 'win_rate_class_risk_factor' 'yoy_win_rate'
 'team_conference_ACC']"
0.23809523809523808,0.5964144945963128,3,['team_name_encoded' 'player_class' 'is_power_5']
0.22045454545454546,0.6246916719643992,13,"['team_conference_Pac-12' 'is_power_5' 'team_conference_Conference USA'
 'team_conference_Mountain West' 'yoy_win_rate' 'win_rate'
 'team_conference_American Athletic' 'is_not_same_coach_next_season'
 'usage_overall' 'team_coach_encoded' 'player_weight' 'player_height'
 'team_conference_ACC']"
0.2532188841201717,0.5933057851239669,17,"['win_rate' 'team_conference_FBS Independents'
 'team_conference_Conference USA' 'is_power_5'
 'team_conference_Mid-American' 'win_rate_class_risk_factor'
 'stats_passing_pct' 'team_conference_Mountain West'
 'team_conference_Big 12' 'class_risk_factor' 'team_conference_Pac-12'
 'team_conference_ACC' 'is_not_same_coach_next_season' 'yoy_win_rate'
 'player_class' 'player_height' 'team_name_encoded']"
0.2556053811659193,0.6171265098537826,24,"['team_conference_Mid-American' 'team_conference_American Athletic'
 'usage_overall' 'team_coach_encoded' 'team_conference_FBS Independents'
 'team_conference_Mountain West' 'team_conference_Conference USA'
 'team_name_encoded' 'team_conference_Big 12' 'team_conference_SEC'
 'team_conference_Big Ten' 'stats_passing_pct' 'win_rate' 'is_power_5'
 'player_class' 'yoy_usage_overall' 'team_conference_Sun Belt'
 'is_not_same_coach_next_season' 'win_rate_class_risk_factor'
 'class_risk_factor' 'team_conference_Pac-12' 'yoy_win_rate'
 'player_weight' 'team_conference_ACC']"
0.2710843373493976,0.5991799109980929,5,"['player_class' 'team_coach_encoded' 'player_height'
 'team_conference_Mountain West' 'stats_passing_pct']"
0.2752808988764045,0.5912841703750795,16,"['win_rate_class_risk_factor' 'team_name_encoded' 'is_power_5'
 'yoy_win_rate' 'stats_passing_pct' 'team_conference_Sun Belt'
 'team_conference_Big 12' 'yoy_usage_overall' 'team_conference_SEC'
 'team_conference_Big Ten' 'player_height' 'team_conference_ACC'
 'player_class' 'team_coach_encoded' 'team_conference_Mid-American'
 'team_conference_American Athletic']"
0.2,0.5700762873490146,4,"['team_conference_Big Ten' 'team_conference_ACC' 'team_name_encoded'
 'player_weight']"
0.17687074829931973,0.5254100445009536,3,['team_conference_Sun Belt' 'win_rate' 'is_not_same_coach_next_season']
0.24836601307189543,0.6348696757787667,11,"['team_conference_Big Ten' 'class_risk_factor' 'yoy_usage_overall'
 'team_conference_SEC' 'team_name_encoded' 'usage_overall' 'is_power_5'
 'team_conference_Pac-12' 'stats_passing_pct'
 'team_conference_American Athletic' 'player_class']"
0.23232323232323232,0.6019898283534647,13,"['team_conference_Big Ten' 'team_conference_Conference USA' 'is_power_5'
 'player_height' 'yoy_usage_overall' 'win_rate' 'yoy_win_rate'
 'team_name_encoded' 'team_conference_Mid-American'
 'team_conference_Sun Belt' 'team_conference_Big 12' 'class_risk_factor'
 'team_conference_Pac-12']"
