season,player_playerId,player_firstName,player_lastName,player_position,player_teamId,player_teamName,player_height,player_weight,player_class,team_conference,team_coach,usage_passingDowns,usage_standardDowns,usage_thirdDown,usage_secondDown,usage_firstDown,usage_rush,usage_pass,usage_overall,stats_passing_attempts,stats_passing_completions,stats_passing_yards,stats_passing_touchdowns,stats_passing_interceptions,stats_passing_pct,stats_rushing_ypc,stats_rushing_touchdowns,stats_rushing_carries,stats_rushing_yards,stats_rushing_long,stats_fumbles_fumbles,stats_fumbles_recovered,stats_fumbles_lost
2021,4875287,A.J.,Abbott,QB,2483,Oregon,74.0,233.0,1,Pac-12,Mario Cristobal,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,-1039931,A.J.,Cecil,QB,254,Utah,73.0,195.0,2016,Pac-12,Kyle Whittingham,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,545682,A.J.,Erdely,QB,5,UAB,76.0,220.0,4,Conference USA,Bill Clark,0.693,0.508,0.795,0.512,0.4961,0.2353,1.0389,0.5595,338.0,205.0,2331.0,16.0,4.0,0.607,0.0,13.0,122.0,320.0,41.0,6.0,0.0,2.0
2018,545682,A.J.,Erdely,QB,5,UAB,76.0,220.0,4,Conference USA,Bill Clark,0.466,0.217,0.441,0.336,0.2309,0.1275,0.6072,0.3031,199.0,112.0,1530.0,7.0,7.0,0.563,0.0,5.0,84.0,257.0,38.0,2.0,0.0,0.0
2019,4429716,A.J.,Gucciardo,QB,2649,Toledo,73.0,185.0,2,Mid-American,Jason Candle,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4429716,A.J.,Gucciardo,QB,2649,Toledo,73.0,185.0,2,Mid-American,Jason Candle,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4429716,A.J.,Gucciardo,QB,2649,Toledo,73.0,185.0,2,Mid-American,Jason Candle,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4429716,A.J.,Gucciardo,QB,2649,Toledo,73.0,185.0,2,Mid-American,Jason Candle,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4380514,AJ,Aycock,QB,99,LSU,76.0,217.0,2,SEC,Ed Orgeron,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4380514,AJ,Aycock,QB,99,LSU,76.0,217.0,2,SEC,Ed Orgeron,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4819250,AJ,Bianco,QB,2440,Nevada,76.0,224.0,2,Mountain West,Ken Wilson,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,4819250,AJ,Bianco,QB,2440,Nevada,76.0,224.0,2,Mountain West,Ken Wilson,0.2,0.15,0.201,0.165,0.1337,0.0767,0.2453,0.1571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,4819250,AJ,Bianco,QB,2440,Nevada,76.0,224.0,2,Mountain West,Jeff Choate,0.014,0.008,0.02,0.007,0.0,0.0,0.016,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,3116087,AJ,Bush,QB,259,Virginia Tech,76.0,225.0,4,ACC,Justin Fuente,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,3116087,AJ,Bush,QB,259,Virginia Tech,76.0,225.0,4,ACC,Justin Fuente,0.032,0.03,0.034,0.024,0.0325,0.0339,0.028,0.0308,11.0,7.0,99.0,1.0,0.0,0.636,0.0,0.0,19.0,129.0,34.0,0.0,0.0,0.0
2018,3116087,AJ,Bush,QB,356,Illinois,76.0,225.0,4,Big Ten,Lovie Smith,0.473,0.529,0.613,0.453,0.3609,0.2857,0.6724,0.4405,217.0,117.0,1413.0,6.0,10.0,0.539,0.0,8.0,138.0,733.0,44.0,5.0,0.0,2.0
2018,-1013517,AJ,Bush Jr.,QB,356,Illinois,76.0,225.0,2018,Big Ten,Lovie Smith,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4685334,AJ,Duffy,QB,52,Florida State,74.0,220.0,2,ACC,Mike Norvell,0.033,0.0,0.03,0.01,0.0048,0.0061,0.0195,0.0122,7.0,2.0,26.0,1.0,0.0,0.286,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0
2023,4685334,AJ,Duffy,QB,52,Florida State,74.0,220.0,2,ACC,Mike Norvell,0.004,0.005,0.006,0.003,0.0025,0.0023,0.0044,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,4685334,AJ,Duffy,QB,21,San Diego State,74.0,220.0,2,Mountain West,Sean Lewis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5146355,AJ,Hairston,QB,113,Massachusetts,75.0,215.0,1,FBS Independents,Don Brown,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5084295,AJ,Maddox,QB,145,Ole Miss,74.0,175.0,1,SEC,Lane Kiffin,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4363148,AJ,Mayer,QB,193,Miami (OH),75.0,231.0,3,Mid-American,Chuck Martin,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-11.0,2.0,0.0,0.0,0.0
2020,4363148,AJ,Mayer,QB,193,Miami (OH),75.0,231.0,3,Mid-American,Chuck Martin,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,49.0,23.0,328.0,4.0,1.0,0.469,0.0,0.0,7.0,1.0,13.0,1.0,0.0,0.0
2021,4363148,AJ,Mayer,QB,193,Miami (OH),75.0,231.0,3,Mid-American,Chuck Martin,0.245,0.129,0.259,0.154,0.1547,0.0486,0.3045,0.1792,125.0,68.0,946.0,6.0,2.0,0.544,0.0,1.0,26.0,89.0,21.0,1.0,0.0,1.0
2022,4363148,AJ,Mayer,QB,2032,Arkansas State,75.0,231.0,3,Sun Belt,Butch Jones,0.081,0.154,0.152,0.066,0.0854,0.0922,0.0993,0.0956,39.0,19.0,214.0,2.0,1.0,0.487,0.0,2.0,32.0,169.0,28.0,0.0,0.0,0.0
2024,5220884,AJ,Miller,QB,183,Syracuse,75.0,198.0,1,ACC,Fran Brown,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4869321,AJ,Padgett,QB,242,Rice,75.0,238.0,2,Conference USA,Mike Bloomgren,0.171,0.083,0.159,0.119,0.1279,0.0613,0.2136,0.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,4869321,AJ,Padgett,QB,242,Rice,75.0,238.0,2,American Athletic,Mike Bloomgren,0.262,0.169,0.216,0.229,0.1608,0.065,0.3061,0.1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,4869321,AJ,Padgett,QB,242,Rice,75.0,238.0,2,American Athletic,Mike Bloomgren,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5079717,AJ,Surace,QB,164,Rutgers,74.0,217.0,1,Big Ten,Greg Schiano,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,5081405,AJ,Swann,QB,238,Vanderbilt,74.0,229.0,3,SEC,Clark Lea,0.361,0.255,0.356,0.281,0.2485,0.035,0.6095,0.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,5081405,AJ,Swann,QB,238,Vanderbilt,74.0,229.0,3,SEC,Clark Lea,0.372,0.228,0.367,0.274,0.3145,0.0561,0.5237,0.3119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5081405,AJ,Swann,QB,99,LSU,74.0,229.0,3,SEC,Brian Kelly,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5194328,AJ,Watkins,QB,55,Jacksonville State,73.0,191.0,1,Conference USA,Rich Rodriguez,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4384187,Aaron,Allen,QB,2348,Louisiana Tech,73.0,200.0,3,Conference USA,Skip Holtz,0.016,0.014,0.016,0.017,0.0025,0.0024,0.016,0.0097,6.0,3.0,47.0,1.0,1.0,0.5,0.0,0.0,2.0,-6.0,0.0,0.0,0.0,0.0
2019,4384187,Aaron,Allen,QB,2348,Louisiana Tech,73.0,200.0,3,Conference USA,Skip Holtz,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,75.0,43.0,446.0,3.0,1.0,0.573,0.0,0.0,13.0,3.0,6.0,2.0,0.0,0.0
2020,4384187,Aaron,Allen,QB,2348,Louisiana Tech,73.0,200.0,3,Conference USA,Skip Holtz,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,121.0,73.0,602.0,4.0,8.0,0.603,0.0,0.0,17.0,-10.0,16.0,2.0,0.0,1.0
2021,4384187,Aaron,Allen,QB,2348,Louisiana Tech,73.0,200.0,3,Conference USA,Skip Holtz,0.106,0.086,0.127,0.081,0.0959,0.0207,0.1671,0.0972,77.0,50.0,620.0,2.0,4.0,0.649,0.0,0.0,12.0,-6.0,9.0,1.0,0.0,1.0
2019,4569628,Aaron,Angelos,QB,265,Washington State,73.0,194.0,3,Pac-12,Mike Leach,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4569628,Aaron,Angelos,QB,265,Washington State,73.0,194.0,3,Pac-12,Nick Rolovich,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,3929897,Aaron,Banks,QB,2509,Purdue,76.0,200.0,4,Big Ten,Darrell Hazell,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,3929897,Aaron,Banks,QB,2509,Purdue,76.0,200.0,4,Big Ten,Jeff Brohm,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3929897,Aaron,Banks,QB,2509,Purdue,76.0,200.0,4,Big Ten,Jeff Brohm,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4574313,Aaron,Chase,QB,2084,Buffalo,72.0,205.0,1,Mid-American,Lance Leipold,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4574313,Aaron,Chase,QB,2084,Buffalo,72.0,205.0,1,Mid-American,Lance Leipold,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4574313,Aaron,Chase,QB,2084,Buffalo,72.0,205.0,1,Mid-American,Maurice Linguist,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4433976,Aaron,McLaughlin,QB,152,NC State,77.0,234.0,3,ACC,Dave Doeren,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024,4433976,Aaron,McLaughlin,QB,2032,Arkansas State,77.0,234.0,3,Sun Belt,Butch Jones,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5132812,Aaron,Philo,QB,59,Georgia Tech,74.0,215.0,1,ACC,Brent Key,0.051,0.014,0.049,0.013,0.0096,0.0,0.0493,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4569020,Aaron,Syverson,QB,36,Colorado State,72.0,195.0,1,Mountain West,Mike Bobo,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4569020,Aaron,Syverson,QB,36,Colorado State,72.0,195.0,1,Mountain West,Steve Addazio,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,3917540,Aaron,Winchester,QB,2247,Georgia State,74.0,190.0,3,Sun Belt,Tim Lappano,0.14,0.127,0.158,0.131,0.1138,0.1406,0.1201,0.127,45.0,24.0,271.0,1.0,2.0,0.533,0.0,1.0,49.0,204.0,21.0,1.0,0.0,0.0
2017,3917540,Aaron,Winchester,QB,2247,Georgia State,74.0,190.0,3,Sun Belt,Shawn Elliott,0.062,0.046,0.06,0.048,0.0388,0.0548,0.0429,0.0483,9.0,6.0,102.0,1.0,1.0,0.667,0.0,0.0,21.0,79.0,20.0,2.0,0.0,2.0
2018,3917540,Aaron,Winchester,QB,2247,Georgia State,74.0,190.0,3,Sun Belt,Shawn Elliott,0.14,0.137,0.135,0.116,0.0881,0.0708,0.1723,0.1147,57.0,31.0,348.0,3.0,1.0,0.544,0.0,1.0,31.0,118.0,14.0,0.0,0.0,0.0
2016,3914916,Aaron,Zwahlen,QB,62,Hawai'i,75.0,,2016,Mountain West,Nick Rolovich,0.031,0.004,0.027,0.013,0.0148,0.0088,0.0262,0.0173,10.0,3.0,32.0,0.0,1.0,0.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2024,5228200,Abe,Fenwick,QB,277,West Virginia,75.0,200.0,1,Big 12,Neal Brown,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5152503,Adam,Damante,QB,12,Arizona,74.0,180.0,2,Big 12,Brent Brennan,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4361182,Adrian,Martinez,QB,158,Nebraska,75.0,225.0,4,Big Ten,Scott Frost,0.644,0.587,0.662,0.601,0.5676,0.31,0.9009,0.5898,347.0,224.0,2617.0,17.0,8.0,0.646,0.0,8.0,140.0,629.0,53.0,12.0,0.0,6.0
2019,4361182,Adrian,Martinez,QB,158,Nebraska,75.0,225.0,4,Big Ten,Scott Frost,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,251.0,149.0,1956.0,10.0,9.0,0.594,0.0,7.0,144.0,626.0,56.0,6.0,0.0,4.0
2020,4361182,Adrian,Martinez,QB,158,Nebraska,75.0,225.0,4,Big Ten,Scott Frost,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,151.0,108.0,1055.0,4.0,3.0,0.715,0.0,7.0,91.0,521.0,41.0,7.0,0.0,5.0
2021,4361182,Adrian,Martinez,QB,158,Nebraska,75.0,225.0,4,Big Ten,Scott Frost,0.7,0.506,0.698,0.541,0.4721,0.2478,0.9256,0.5448,306.0,189.0,2863.0,14.0,10.0,0.618,0.0,13.0,133.0,525.0,75.0,7.0,0.0,3.0
2022,4361182,Adrian,Martinez,QB,2306,Kansas State,75.0,225.0,4,Big 12,Chris Klieman,0.374,0.358,0.432,0.317,0.2906,0.2103,0.4963,0.3326,184.0,118.0,1261.0,6.0,1.0,0.641,0.0,10.0,111.0,627.0,69.0,5.0,0.0,1.0
2024,5079568,Adrian,Posse,QB,5,UAB,76.0,235.0,1,American Athletic,Trent Dilfer,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4695706,Adryan,Lara,QB,2306,Kansas State,72.0,234.0,2,Big 12,Chris Klieman,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,4695706,Adryan,Lara,QB,2306,Kansas State,72.0,234.0,2,Big 12,Chris Klieman,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,4695706,Adryan,Lara,QB,309,Louisiana,72.0,234.0,2,Sun Belt,Michael Desormeaux,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4879955,Ahlon,Mitchell,QB,349,Army,71.0,177.0,2,FBS Independents,Jeff Monken,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,3129089,Ahmad,Bradshaw,QB,349,Army,71.0,205.0,2016,FBS Independents,Jeff Monken,0.448,0.26,0.407,0.314,0.2698,0.2436,0.7541,0.3137,83.0,38.0,672.0,4.0,8.0,0.458,0.0,8.0,171.0,809.0,65.0,6.0,1.0,3.0
2017,3129089,Ahmad,Bradshaw,QB,349,Army,71.0,205.0,2017,FBS Independents,Jeff Monken,0.482,0.352,0.512,0.338,0.303,0.3333,0.6667,0.358,43.0,14.0,285.0,1.0,2.0,0.326,0.0,14.0,242.0,1746.0,71.0,3.0,0.0,1.0
2023,4870757,Ahmad,Haston,QB,113,Massachusetts,72.0,195.0,1,FBS Independents,Don Brown,0.051,0.034,0.068,0.025,0.0438,0.0357,0.0541,0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,4870757,Ahmad,Haston,QB,113,Massachusetts,72.0,195.0,1,FBS Independents,Don Brown,0.006,0.009,0.009,0.006,0.0156,0.012,0.009,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,5122054,Aidan,Armenta,QB,167,New Mexico,74.0,210.0,2,Mountain West,Danny Gonzales,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5122054,Aidan,Armenta,QB,2433,UL Monroe,74.0,210.0,2,Sun Belt,Bryant Vincent,0.368,0.167,0.405,0.214,0.1522,0.0602,0.5417,0.2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4429179,Aidan,Bouman,QB,66,Iowa State,77.0,240.0,1,Big 12,Matt Campbell,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4429179,Aidan,Bouman,QB,66,Iowa State,77.0,240.0,1,Big 12,Matt Campbell,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,5075805,Aidan,Chiles,QB,204,Oregon State,75.0,217.0,2,Pac-12,Kefense Hynson,0.101,0.043,0.088,0.07,0.0699,0.0355,0.11,0.0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5075805,Aidan,Chiles,QB,127,Michigan State,75.0,217.0,2,Big Ten,Jonathan Smith,0.689,0.519,0.833,0.508,0.4877,0.2191,0.9,0.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5147475,Aidan,Glover,QB,142,Missouri,75.0,191.0,1,SEC,Eli Drinkwitz,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,4917943,Aidan,Gray,QB,77,Northwestern,75.0,195.0,1,Big Ten,David Braun,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
