team,season,wins,losses,_id
Boston College,2016,7,6,67127c950f4ebd8209416f0c
Boston College,2017,7,6,67127c950f4ebd8209416f0d
Boston College,2018,7,5,67127c950f4ebd8209416f0e
Boston College,2019,6,6,67127c950f4ebd8209416f0f
Boston College,2020,6,5,67127c950f4ebd8209416f10
Boston College,2021,6,6,67127c950f4ebd8209416f11
Boston College,2022,3,9,67127c950f4ebd8209416f12
Boston College,2023,7,6,67127c950f4ebd8209416f13
Boston College,2024,0,0,67127c950f4ebd8209416f14
Indiana,2016,6,7,67127c950f4ebd8209416f15
Indiana,2017,5,7,67127c950f4ebd8209416f16
Indiana,2018,5,7,67127c950f4ebd8209416f17
Indiana,2019,8,5,67127c950f4ebd8209416f18
Indiana,2020,6,2,67127c950f4ebd8209416f19
Indiana,2021,2,10,67127c950f4ebd8209416f1a
Indiana,2022,4,8,67127c950f4ebd8209416f1b
Indiana,2023,3,9,67127c950f4ebd8209416f1c
Indiana,2024,0,0,67127c950f4ebd8209416f1d
Oregon State,2016,4,8,67127c950f4ebd8209416f1e
Oregon State,2017,1,11,67127c950f4ebd8209416f1f
Oregon State,2018,2,10,67127c950f4ebd8209416f20
Oregon State,2019,5,7,67127c950f4ebd8209416f21
Oregon State,2020,2,5,67127c950f4ebd8209416f22
Oregon State,2021,7,6,67127c950f4ebd8209416f23
Oregon State,2022,10,3,67127c950f4ebd8209416f24
Oregon State,2023,8,5,67127c950f4ebd8209416f25
Oregon State,2024,0,0,67127c950f4ebd8209416f26
Arkansas State,2016,8,5,67127c950f4ebd8209416f27
Arkansas State,2017,7,5,67127c950f4ebd8209416f28
Arkansas State,2018,8,5,67127c950f4ebd8209416f29
Arkansas State,2019,8,5,67127c950f4ebd8209416f2a
Arkansas State,2020,4,7,67127c950f4ebd8209416f2b
Arkansas State,2021,2,10,67127c950f4ebd8209416f2c
Arkansas State,2022,3,9,67127c950f4ebd8209416f2d
Arkansas State,2023,6,7,67127c950f4ebd8209416f2e
Arkansas State,2024,0,0,67127c950f4ebd8209416f2f
Houston,2016,9,4,67127c950f4ebd8209416f30
Houston,2017,7,5,67127c950f4ebd8209416f31
Houston,2018,8,5,67127c950f4ebd8209416f32
Houston,2019,4,8,67127c950f4ebd8209416f33
Houston,2020,3,5,67127c950f4ebd8209416f34
Houston,2021,12,2,67127c950f4ebd8209416f35
Houston,2022,8,5,67127c950f4ebd8209416f36
Houston,2023,4,8,67127c950f4ebd8209416f37
Houston,2024,0,0,67127c950f4ebd8209416f38
Rutgers,2016,2,10,67127c950f4ebd8209416f39
Rutgers,2017,4,8,67127c950f4ebd8209416f3a
Rutgers,2018,1,11,67127c950f4ebd8209416f3b
Rutgers,2019,2,10,67127c950f4ebd8209416f3c
Rutgers,2020,3,6,67127c950f4ebd8209416f3d
Rutgers,2021,5,8,67127c950f4ebd8209416f3e
Rutgers,2022,4,8,67127c950f4ebd8209416f3f
Rutgers,2023,7,6,67127c950f4ebd8209416f40
Rutgers,2024,0,0,67127c950f4ebd8209416f41
Syracuse,2016,4,8,67127c950f4ebd8209416f42
Syracuse,2017,4,8,67127c950f4ebd8209416f43
Syracuse,2018,10,3,67127c950f4ebd8209416f44
Syracuse,2019,5,7,67127c950f4ebd8209416f45
Syracuse,2020,1,10,67127c950f4ebd8209416f46
Syracuse,2021,5,7,67127c950f4ebd8209416f47
Syracuse,2022,7,6,67127c950f4ebd8209416f48
Syracuse,2023,6,7,67127c950f4ebd8209416f49
